model,target,size,seed,rmse,r2,mae,train_s,infer_s
mlp,TOperacao,6000,4096,25.381854877045892,0.5139121943062712,11.129551703184843,1.311,0.00027
mlp,TOperacao,6000,5000,26.902946398105144,0.4539056219529961,11.589088613390922,1.734,0.00026
mlp,TOperacao,6000,6273,27.479014282523675,0.4302683942670261,11.970527617633342,1.226,0.00025
mlp,TOperacao,6000,7777,29.47341070661841,0.34456624361958665,12.111898993253709,1.613,0.00026
mlp,TOperacao,6000,8192,31.217979203773414,0.26467795416597684,12.618147096335887,1.262,0.00025
mlp,TOperacao,6000,9001,26.78890860934295,0.4585254435968631,11.849744120687246,1.06,0.00027
mlp,TOperacao,6000,10240,24.694804402522223,0.5398714361974978,11.364748960137367,1.169,0.00025
mlp,TOperacao,6000,11111,33.58600634142016,0.14889185988454057,13.562778935432434,1.895,0.00026
mlp,TOperacao,6000,12345,26.281808899449935,0.4788310673249059,11.755422926545144,2.422,0.00025
mlp,TOperacao,6000,13579,24.082088808989827,0.5624211524312441,10.484513913989067,0.831,0.00026
mlp,TOperacao,6000,14641,24.12814800053542,0.5607457328442592,10.922016878128051,2.149,0.00025
mlp,TOperacao,6000,15360,25.735536438130676,0.5002711030599069,10.951274447143078,1.053,0.00026
mlp,TOperacao,6000,16384,20.373244755015318,0.6868240394239145,9.991406411230564,2.624,0.00026
mlp,TAtracado,100,42,59.480503690236354,-1.1887908604676771,24.101213477253914,0.671,0.00026
mlp,TAtracado,100,137,42.856048640636054,-0.13626399173336323,24.744354827404024,0.431,0.00026
mlp,TAtracado,100,256,37.60666647864255,0.12504711294031612,19.338291459828614,0.488,0.00026
mlp,TAtracado,100,512,34.8208680589257,0.24987406924612987,19.321874366253613,0.672,0.00027
mlp,TAtracado,100,1024,54.52083662480404,-0.8389927389833514,24.98295502901077,0.404,0.00026
mlp,TAtracado,100,2048,44.10342086142911,-0.20337100980549216,26.540419733524324,0.287,0.00026
mlp,TAtracado,100,3141,39.27336034213772,0.04577428448329668,19.91229139328003,0.572,0.00026
mlp,TAtracado,100,4096,45.24448414835128,-0.26644482448510054,28.366393119990825,0.208,0.00026
mlp,TAtracado,100,5000,54.95963685213289,-0.8687134026039347,25.24559366762638,0.404,0.00025
mlp,TAtracado,100,6273,44.633430187599245,-0.23246762806472487,27.527466434165834,0.082,0.00026
mlp,TAtracado,100,7777,46.830020670775625,-0.35676205953613205,30.756983067318796,0.082,0.00026
mlp,TAtracado,100,8192,41.49033777786007,-0.06499834404771532,23.001800537854432,0.619,0.00025
mlp,TAtracado,100,9001,45.62836460389769,-0.288026498874427,28.400184741578997,0.097,0.00026
mlp,TAtracado,100,10240,41.10061262316097,-0.04508492222897287,22.687298517376185,0.372,0.00026
mlp,TAtracado,100,11111,47.65856217357748,-0.40519586517558026,30.285491488575936,0.093,0.00026
mlp,TAtracado,100,12345,64.10644785924342,-1.5424851094552956,32.57961427211762,0.26,0.00025
mlp,TAtracado,100,13579,46.63342194467018,-0.34539423230207755,31.308735218197107,0.101,0.00027
mlp,TAtracado,100,14641,41.17889729652615,-0.04906987732196533,22.467182795852423,0.476,0.00027
mlp,TAtracado,100,15360,39.176234334476085,0.050488193903769685,25.555335575193165,0.421,0.00027
mlp,TAtracado,100,16384,45.86510439176957,-0.3014268549901249,27.701242510620503,0.082,0.00026
mlp,TAtracado,500,42,38.647571946482415,0.07594159802190403,22.968880330622195,0.648,0.00026
mlp,TAtracado,500,137,47.66999526554759,-0.4058701473981776,23.201523198187353,0.727,0.00025
