model,target,size,seed,rmse,r2,mae,train_s,infer_s,best_iter
xgboost,TAtracado,100,5000,38.37635680895381,0.08886552762899969,20.788071854636073,0.986,0.00064,282
xgboost,TAtracado,100,6273,38.71211325432168,0.07285267242997917,21.038192380070686,0.457,0.00054,78
xgboost,TAtracado,100,7777,34.56679702100951,0.26078074562058673,22.387243455052374,0.223,0.00056,20
xgboost,TAtracado,100,8192,39.68535233919783,0.025648916472433392,26.021117839217187,0.67,0.00064,158
xgboost,TAtracado,100,9001,40.73986614849409,-0.02681968788526956,21.78459885299206,0.36,0.00056,70
xgboost,TAtracado,100,10240,38.34042527618357,0.09057090742377771,20.05320438057184,0.925,0.00066,258
xgboost,TAtracado,100,11111,36.974781099460856,0.15420285548523538,18.039896852970124,0.929,0.00064,256
xgboost,TAtracado,100,12345,39.43561910323214,0.03787318684826524,22.026019456982613,0.262,0.00056,33
xgboost,TAtracado,100,13579,37.72530971232237,0.11951772161208174,22.02143971543759,9.256,0.00194,2999
xgboost,TAtracado,100,14641,38.58548908596101,0.07890799970314433,21.60719963133335,0.291,0.00054,45
xgboost,TAtracado,100,15360,36.82005355058776,0.16126682150041816,22.86155144751072,0.3,0.00055,53
xgboost,TAtracado,100,16384,37.105924902336234,0.14819239318852118,20.982519038692118,0.566,0.00059,134
xgboost,TAtracado,500,42,35.043719350045244,0.24024183036257618,19.836582627892493,1.537,0.00069,130
xgboost,TAtracado,500,137,32.58391910159482,0.34315691954932215,17.993577273488043,1.094,0.00062,72
xgboost,TAtracado,500,256,36.470070507739756,0.17713574443505942,19.251426194310188,0.929,0.0006,54
xgboost,TAtracado,500,512,32.35459338284087,0.35237011089767756,16.889375742077828,1.21,0.00063,92
xgboost,TAtracado,500,1024,35.73802681594272,0.20983801411322678,18.627523618340494,1.32,0.00065,103
xgboost,TAtracado,500,2048,37.697950522616395,0.12079434713714177,18.174485026001932,0.997,0.00061,59
xgboost,TAtracado,500,3141,40.15932191340127,0.0022362214165697614,21.02421997368336,1.187,0.00065,89
xgboost,TAtracado,500,4096,38.42658109080419,0.08647910938648973,20.743275398612024,1.466,0.00067,138
xgboost,TAtracado,500,5000,35.46816007606397,0.2217263778398847,19.819656124711038,0.942,0.00059,58
xgboost,TAtracado,500,6273,35.14380053544309,0.23589605444589046,17.506788299195467,2.449,0.00084,258
xgboost,TAtracado,500,7777,36.53576113034901,0.17416875553093425,18.543814542889596,0.905,0.00059,51
xgboost,TAtracado,500,8192,35.835178498663744,0.20553615893574118,18.351097961068152,1.726,0.00068,177
xgboost,TAtracado,500,9001,35.1290802007135,0.2365360256518777,17.44684608846903,2.481,0.0008,265
xgboost,TAtracado,500,10240,40.25407441809085,-0.0024776105343946586,21.959899387955666,1.192,0.00065,91
xgboost,TAtracado,500,11111,37.48213525511816,0.13083218030532662,19.693308005928994,0.853,0.00062,46
xgboost,TAtracado,500,12345,30.94583177492804,0.40753962081704365,15.930516211688518,2.366,0.00081,237
xgboost,TAtracado,500,13579,32.90677944056311,0.33007566753148654,16.49142281293869,1.543,0.00068,136
xgboost,TAtracado,500,14641,46.17817397185564,-0.31925425220098425,21.46071877896786,2.38,0.00076,222
xgboost,TAtracado,500,15360,36.390333900824956,0.18072996164917743,17.701719251275062,2.881,0.00082,320
xgboost,TAtracado,500,16384,38.89972917690818,0.06384416838007645,19.72630357146263,2.708,0.00088,280
xgboost,TAtracado,1500,42,35.74619449885831,0.20947680054812934,17.213176055550576,4.189,0.00078,290
xgboost,TAtracado,1500,137,29.958233467756045,0.44475150069688696,17.81307943403721,2.064,0.00068,71
xgboost,TAtracado,1500,256,30.774974502381795,0.4140637124401063,15.518354545235633,1.778,0.00067,60
xgboost,TAtracado,1500,512,29.541124383375198,0.4601053374505868,15.23469087779522,2.781,0.00066,102
xgboost,TAtracado,1500,1024,29.950455158018304,0.4450397910019902,15.590738052725792,3.602,0.00073,158
xgboost,TAtracado,1500,2048,30.859189113378264,0.4108525376522907,16.02878199636936,3.286,0.00072,160
xgboost,TAtracado,1500,3141,30.504528234079025,0.4243167185764607,15.819437742829322,2.762,0.00068,164
xgboost,TAtracado,1500,4096,28.354332699984486,0.5026136605398792,14.82667074739933,2.554,0.00065,83
xgboost,TAtracado,1500,5000,30.11901581876695,0.43877559953312184,15.967058073878288,5.38,0.00087,334
xgboost,TAtracado,1500,6273,32.272054001067886,0.35567021644329744,15.305446128249168,5.069,0.0008,290
xgboost,TAtracado,1500,7777,31.161890814774555,0.39923780607298665,16.49184424340725,2.998,0.00072,119
xgboost,TAtracado,1500,8192,34.828266485011994,0.2495552753076553,16.817513833642007,2.797,0.0007,138
xgboost,TAtracado,1500,9001,35.596413497340286,0.21608770230185725,18.471422277092934,5.62,0.00089,399
xgboost,TAtracado,1500,10240,33.81290427845723,0.2926734798220154,17.696534125208856,5.943,0.00095,384
xgboost,TAtracado,1500,11111,32.40437899836778,0.3503754970903472,15.590483191609383,2.93,0.00069,188
xgboost,TAtracado,1500,12345,37.086827790540674,0.14906895827055833,17.444447627663614,2.282,0.00063,87
xgboost,TAtracado,1500,13579,40.95404690207568,-0.03764461878118941,20.078928244709967,1.778,0.0006,49
xgboost,TAtracado,1500,14641,26.915304257322113,0.5518188582699045,14.338621367812157,3.156,0.00075,167
xgboost,TAtracado,1500,15360,35.30409530738378,0.22890983255112984,18.853188653588294,1.93,0.0006,67
