model,target,size,seed,rmse,r2,mae,train_s,infer_s
svm,TAtracado,3000,12345,35.75032267556848,0.2092942016479756,16.430351177810156,0.068,0.00017
knn,TAtracado,3000,13579,34.589911365608074,0.2597918034662624,17.376170867681502,0.001,0.00734
svm,TAtracado,3000,13579,35.370582722099385,0.2260027438950713,15.985596779399794,0.072,0.00019
knn,TAtracado,3000,14641,34.492658908284774,0.2639482678425815,17.625633162260055,0.001,0.00688
svm,TAtracado,3000,14641,35.29407568581221,0.2293474551696562,15.557460939232712,0.071,0.00017
knn,TAtracado,3000,15360,34.1224551750728,0.2796633108987086,16.837716401219367,0.001,0.00731
svm,TAtracado,3000,15360,36.62505829303547,0.1701269891003115,15.786248712470517,0.071,0.00018
knn,TAtracado,3000,16384,34.65354965994559,0.257065637512246,17.24242083787918,0.001,0.0067
svm,TAtracado,3000,16384,36.1593405740431,0.1910978400103862,16.0209063280207,0.07,0.00016
knn,TAtracado,6000,42,31.888731340230756,0.3708858190418979,16.373316401839258,0.001,0.01095
svm,TAtracado,6000,42,32.55450146514143,0.3443424152737233,14.708377362644146,0.139,0.00018
knn,TAtracado,6000,137,32.07834320673806,0.3633820925781538,16.48323324263096,0.002,0.01047
svm,TAtracado,6000,137,32.73724916914328,0.336960564966871,15.120157854574678,0.139,0.00017
knn,TAtracado,6000,256,30.25800155890874,0.4335840513297488,15.464420564770698,0.001,0.01103
svm,TAtracado,6000,256,32.10727196132354,0.3622333507455094,14.583044583925757,0.143,0.00017
knn,TAtracado,6000,512,32.35963039266381,0.3521684472884294,16.464254096746444,0.001,0.01166
svm,TAtracado,6000,512,33.37681757083786,0.3108006780458388,15.05320671474282,0.138,0.00016
knn,TAtracado,6000,1024,34.10769263340414,0.2802864606701749,17.95044585645199,0.001,0.01162
svm,TAtracado,6000,1024,32.914378732607595,0.3297662152804109,15.027767285199456,0.145,0.00015
knn,TAtracado,6000,2048,32.244011439504646,0.3567895010917996,16.8309247815609,0.001,0.01219
svm,TAtracado,6000,2048,31.091929182716743,0.4019323230809674,14.575414050459509,0.139,0.00016
knn,TAtracado,6000,3141,31.399980596390368,0.3900225909184395,16.442675028443336,0.001,0.01069
svm,TAtracado,6000,3141,31.988060912710814,0.366960484676102,14.826032675095018,0.142,0.00017
knn,TAtracado,6000,4096,34.7351460730328,0.2535628420066701,16.540237278342246,0.001,0.01169
svm,TAtracado,6000,4096,32.733271529260584,0.3371216763581464,14.758843964200738,0.139,0.00018
knn,TAtracado,6000,5000,34.52482605570008,0.2625747741474624,17.447091577649118,0.001,0.01167
svm,TAtracado,6000,5000,32.13793057116568,0.3610147872810242,15.111160618542074,0.141,0.00016
knn,TAtracado,6000,6273,35.12976667372481,0.2365061869808217,17.376920711398125,0.001,0.01103
svm,TAtracado,6000,6273,33.14051782812984,0.3205248601640719,15.205665684106489,0.142,0.00017
